symbol,price,volume,timestamp
AAPL,312.51,48220390,1779926400
AAPL,310.85,50430920,1779840000
AAPL,308.33,48000490,1779753600
AAPL,308.82,43670220,1779408000
AAPL,304.99,42965130,1779321600
AAPL,302.25,38229840,1779235200
AAPL,298.97,42243560,1779148800
AAPL,297.84,34482960,1779062400
AAPL,300.23,54862840,1778803200
AAPL,298.21,35324920,1778716800
AAPL,298.87,52684260,1778630400
AAPL,294.80,45748130,1778544000
AAPL,292.68,42247290,1778457600
AAPL,293.32,52692760,1778198400
AAPL,287.44,45224300,1778112000
AAPL,287.51,58336070,1778025600
AAPL,284.18,49311710,1777939200
AAPL,276.83,46668400,1777852800
AAPL,280.14,79915440,1777593600
AAPL,271.35,91848230,1777507200
AAPL,270.17,30047870,1777420800
AAPL,270.71,40018940,1777334400
AAPL,267.61,41466760,1777248000
AAPL,271.06,38157110,1776988800
AAPL,273.43,33399640,1776902400
AAPL,273.17,43249200,1776816000
AAPL,266.17,50209760,1776729600
AAPL,273.05,36590170,1776643200
AAPL,270.23,61436230,1776384000
AAPL,263.40,43323110,1776297600
AAPL,266.43,49913510,1776211200
AAPL,258.83,48370710,1776124800
AAPL,259.20,36234700,1776038400
AAPL,260.48,31291470,1775779200
AAPL,260.49,28121570,1775692800
AAPL,258.90,41032770,1775606400
AAPL,253.50,62148010,1775520000
AAPL,258.86,29329910,1775433600
AAPL,255.92,31289370,1775088000
AAPL,255.63,40059430,1775001600
AAPL,253.79,49598090,1774915200
AAPL,246.63,39446210,1774828800
AAPL,248.80,47900000,1774569600
AAPL,252.89,41796650,1774483200
AAPL,252.62,28476670,1774396800
AAPL,251.64,45152290,1774310400
AAPL,251.49,40546110,1774224000
AAPL,247.99,88331080,1773964800
AAPL,248.96,34864080,1773878400
AAPL,249.94,35757870,1773792000
AAPL,254.23,32361610,1773705600
AAPL,252.82,32074210,1773619200
AAPL,250.12,36929990,1773360000
AAPL,255.76,40794020,1773273600
AAPL,260.81,26218930,1773187200
AAPL,260.83,30590770,1773100800
AAPL,259.88,38218530,1773014400
AAPL,257.46,41120040,1772755200
AAPL,260.29,49658630,1772668800
AAPL,262.52,39803120,1772582400
AAPL,263.75,38568920,1772496000
AAPL,264.72,41827950,1772409600
AAPL,264.18,72366510,1772150400
AAPL,272.95,32345110,1772064000
AAPL,274.23,33714340,1771977600
AAPL,272.14,47014620,1771891200
AAPL,266.18,37308160,1771804800
AAPL,264.58,42070500,1771545600
AAPL,260.58,30845290,1771459200
AAPL,264.35,34203340,1771372800
AAPL,263.88,58469090,1771286400
AAPL,255.78,56290670,1770940800
AAPL,261.73,81077230,1770854400
AAPL,275.50,51931280,1770768000
AAPL,273.68,34376900,1770681600
AAPL,274.62,44623400,1770595200
AAPL,278.12,50453410,1770336000
AAPL,275.91,52977440,1770249600
AAPL,276.49,90545710,1770163200
AAPL,269.48,64394660,1770076800
AAPL,270.01,73913430,1769990400
AAPL,259.48,92443410,1769731200
AAPL,258.28,67253010,1769644800
AAPL,256.44,41287970,1769558400
AAPL,258.27,49648270,1769472000
AAPL,255.41,55969230,1769385600
AAPL,248.04,41688980,1769126400
AAPL,248.35,39708340,1769040000
AAPL,247.65,54641730,1768953600
AAPL,246.70,80267520,1768867200
AAPL,255.53,72142770,1768521600
AAPL,258.21,39388560,1768435200
AAPL,259.96,40019420,1768348800
AAPL,261.05,45730850,1768262400
AAPL,260.25,45263770,1768176000
AAPL,259.37,39996970,1767916800
AAPL,259.04,50419340,1767830400
AAPL,260.33,48309800,1767744000
AAPL,262.36,52352090,1767657600
AAPL,267.26,45647190,1767571200
AAPL,271.01,37838050,1767312000
AAPL,271.86,27293640,1767139200
AAPL,273.08,22139620,1767052800
AAPL,273.76,23715210,1766966400
AAPL,273.40,21521800,1766707200
AAPL,273.81,17910570,1766534400
AAPL,272.36,29642000,1766448000
AAPL,270.97,36571830,1766361600
AAPL,273.67,144632000,1766102400
AAPL,272.19,51630720,1766016000
AAPL,271.84,50138740,1765929600
AAPL,274.61,37648630,1765843200
AAPL,274.11,50409080,1765756800
AAPL,278.28,39532890,1765497600
AAPL,278.03,33247990,1765411200
AAPL,278.78,33038320,1765324800
AAPL,277.18,32193260,1765238400
AAPL,277.89,38211830,1765152000
AAPL,278.78,47265850,1764892800
AAPL,280.70,43989060,1764806400
AAPL,284.15,43538690,1764720000
AAPL,286.19,53669530,1764633600
AAPL,283.10,46587720,1764547200
AAPL,278.85,20135620,1764288000
AAPL,277.55,33431420,1764115200
AAPL,276.97,46914220,1764028800
AAPL,275.92,65585800,1763942400
AAPL,271.49,59030830,1763683200
AAPL,266.25,45823570,1763596800
AAPL,268.56,40424490,1763510400
AAPL,267.44,45677280,1763424000
AAPL,267.46,45018260,1763337600
AAPL,272.41,47431330,1763078400
AAPL,272.95,49602790,1762992000
AAPL,273.47,48397980,1762905600
AAPL,275.25,46208320,1762819200
AAPL,269.43,41312410,1762732800
AAPL,268.47,48227370,1762473600
AAPL,269.77,51204050,1762387200
AAPL,270.14,43683070,1762300800
AAPL,270.04,49274850,1762214400
AAPL,269.05,50194580,1762128000
AAPL,270.37,86167120,1761868800
AAPL,271.40,69886530,1761782400
AAPL,269.70,51086740,1761696000
AAPL,269.00,41534760,1761609600
AAPL,268.81,44888150,1761523200
AAPL,262.82,38253720,1761264000
AAPL,259.58,32754940,1761177600
AAPL,258.45,45015250,1761091200
AAPL,262.77,46695950,1761004800
AAPL,262.24,90483030,1760918400
AAPL,252.29,49146960,1760659200
AAPL,247.45,39776970,1760572800
AAPL,249.34,33893610,1760486400
AAPL,247.77,35477990,1760400000
AAPL,247.66,38142940,1760313600
AAPL,245.27,61999100,1760054400
AAPL,254.04,38322010,1759968000
AAPL,258.06,36496900,1759881600
AAPL,256.48,31955780,1759795200
AAPL,256.69,44664120,1759708800
AAPL,258.02,49155610,1759449600
AAPL,257.13,42630240,1759363200
AAPL,255.45,48713940,1759276800
AAPL,254.63,37704260,1759190400
AAPL,254.43,40127690,1759104000
AAPL,255.46,46076260,1758844800
AAPL,256.87,55202080,1758758400
AAPL,252.31,42303710,1758672000
AAPL,254.43,60275190,1758585600
AAPL,256.08,105517400,1758499200
AAPL,245.50,163741300,1758240000
AAPL,237.88,44249580,1758153600
AAPL,238.99,46508020,1758067200
AAPL,238.15,63421100,1757980800
AAPL,236.70,42699520,1757894400
AAPL,234.07,55824220,1757635200
AAPL,230.03,50208580,1757548800
AAPL,226.79,83440810,1757462400
AAPL,234.35,66313920,1757376000
AAPL,237.88,48999500,1757289600
AAPL,239.69,54870400,1757030400
AAPL,239.78,47549430,1756944000
AAPL,238.47,66427840,1756857600
AAPL,229.72,44075640,1756771200
AAPL,232.14,39418440,1756425600
AAPL,232.56,38074700,1756339200
AAPL,230.49,31259510,1756252800
AAPL,229.31,54575110,1756166400
AAPL,227.16,30983130,1756080000
AAPL,227.76,42477810,1755820800
AAPL,224.90,30621250,1755734400
AAPL,226.01,42263870,1755648000
AAPL,230.56,39402560,1755561600
AAPL,230.89,37476190,1755475200
AAPL,231.59,56038660,1755216000
AAPL,232.78,51916280,1755129600
AAPL,233.33,69878550,1755043200
AAPL,229.65,55672300,1754956800
AAPL,227.18,61806130,1754870400
AAPL,229.35,113854000,1754611200
AAPL,220.03,90224830,1754524800
AAPL,213.25,108483100,1754438400
AAPL,202.92,44155080,1754352000
AAPL,203.35,75109300,1754265600
AAPL,202.38,104434500,1754006400
AAPL,207.57,80698430,1753920000
AAPL,209.05,45512510,1753833600
AAPL,211.27,51411720,1753747200
AAPL,214.05,37858020,1753660800
AAPL,213.88,40268780,1753401600
AAPL,213.76,46022620,1753315200
AAPL,214.15,46989300,1753228800
AAPL,214.40,46404070,1753142400
AAPL,212.48,51377430,1753056000
AAPL,211.18,48974590,1752796800
AAPL,210.02,48068140,1752710400
AAPL,210.16,47490530,1752624000
AAPL,209.11,42296340,1752537600
AAPL,208.62,38840110,1752451200
AAPL,211.16,39765810,1752192000
AAPL,212.41,44443640,1752105600
AAPL,211.14,48749370,1752019200
AAPL,210.01,42848930,1751932800
AAPL,209.95,50228980,1751846400
AAPL,213.55,34955840,1751500800
AAPL,212.44,67941810,1751414400
AAPL,207.82,78788870,1751328000
AAPL,205.17,91912820,1751241600
AAPL,201.08,73188570,1750982400
AAPL,201.00,50799120,1750896000
AAPL,201.56,39525730,1750809600
AAPL,200.30,54064030,1750723200
AAPL,201.50,55814270,1750636800
AAPL,201.00,96813540,1750377600
AAPL,196.58,45394690,1750204800
AAPL,195.64,38856150,1750118400
AAPL,198.42,43020690,1750032000
AAPL,196.45,51447350,1749772800
AAPL,199.20,43904640,1749686400
AAPL,198.78,60989860,1749600000
AAPL,202.67,54672610,1749513600
AAPL,201.45,72862560,1749427200
AAPL,203.92,46607690,1749168000
AAPL,200.63,55221240,1749081600
AAPL,202.82,43603990,1748995200
AAPL,203.27,46381570,1748908800
AAPL,201.70,35423290,1748822400
AAPL,200.85,70819940,1748563200
AAPL,199.95,51477940,1748476800
